stem,n_coco,n_yolo,max_coord_diff,status
0008_2248_5,11,11,9.25926e-07,OK
0008_2249_5,10,10,1e-06,OK
0008_2250_5,10,10,9.25926e-07,OK
0008_2251_5,10,10,9.25926e-07,OK
0008_2252_5,10,10,9.58333e-07,OK
0008_2253_5,12,12,9.62963e-07,OK
0008_2254_5,12,12,9.62963e-07,OK
0008_2255_5,14,14,1e-06,OK
0008_2256_5,13,13,9.79167e-07,OK
0008_2257_5,15,15,9.62963e-07,OK
0008_2258_5,15,15,9.79167e-07,OK
0008_2259_5,15,15,1e-06,OK
0008_2260_5,18,18,9.79167e-07,OK
0008_2261_5,18,18,1e-06,OK
0008_2262_5,17,17,1e-06,OK
0008_2263_5,18,18,1e-06,OK
0008_2264_5,18,18,1e-06,OK
0008_2265_5,20,20,1e-06,OK
0008_2266_5,21,21,1e-06,OK
0008_2267_5,19,19,1e-06,OK
0008_2268_5,20,20,1e-06,OK
0008_2269_5,21,21,1e-06,OK
0008_2270_5,20,20,1e-06,OK
0008_2271_5,19,19,9.62963e-07,OK
0008_2272_5,19,19,1e-06,OK
0008_2273_5,19,19,1e-06,OK
0008_2274_5,20,20,9.62963e-07,OK
0008_2275_5,20,20,9.62963e-07,OK
0008_2276_5,19,19,9.62963e-07,OK
0008_2277_5,19,19,1e-06,OK
0008_2278_5,19,19,1e-06,OK
0008_2279_5,18,18,1e-06,OK
0008_2280_5,18,18,9.79167e-07,OK
0008_2281_5,18,18,9.62963e-07,OK
0008_2282_5,18,18,9.79167e-07,OK
0008_2283_5,18,18,1e-06,OK
0008_2284_5,18,18,9.62963e-07,OK
0008_2285_5,16,16,9.79167e-07,OK
0008_2286_5,17,17,9.62963e-07,OK
0008_2287_5,19,19,9.62963e-07,OK
0008_2288_5,19,19,9.79167e-07,OK
0008_2289_5,18,18,9.62963e-07,OK
0008_2290_5,17,17,1e-06,OK
0008_2291_5,16,16,9.79167e-07,OK
0008_2292_5,16,16,9.62963e-07,OK
0008_2293_5,16,16,9.79167e-07,OK
0008_2294_5,17,17,9.79167e-07,OK
0008_2295_5,19,19,9.62963e-07,OK
0008_2296_5,16,16,9.62963e-07,OK
0008_2297_5,16,16,9.62963e-07,OK
0008_2298_5,14,14,9.62963e-07,OK
0008_2299_5,14,14,9.58333e-07,OK
0008_2300_5,14,14,1e-06,OK
0008_2301_5,15,15,1e-06,OK
0008_2302_5,14,14,1e-06,OK
0008_2303_5,15,15,9.62963e-07,OK
0008_2304_5,15,15,9.62963e-07,OK
0008_2305_5,14,14,9.62963e-07,OK
0008_2306_5,16,16,9.62963e-07,OK
0008_2307_5,16,16,1e-06,OK
0008_2308_5,15,15,1e-06,OK
0008_2309_5,15,15,9.62963e-07,OK
0008_2310_5,13,13,9.62963e-07,OK
0008_2311_5,15,15,9.58333e-07,OK
0008_2312_5,14,14,8.75e-07,OK
0008_2313_5,15,15,1e-06,OK
0008_2314_5,15,15,9.62963e-07,OK
0008_2315_5,15,15,9.58333e-07,OK
0008_2316_5,15,15,9.58333e-07,OK
0008_2317_5,15,15,9.79167e-07,OK
0008_2318_5,14,14,9.62963e-07,OK
0008_2319_5,15,15,9.79167e-07,OK
0008_2320_5,16,16,9.79167e-07,OK
0008_2321_5,18,18,9.62963e-07,OK
0008_2322_5,17,17,9.62963e-07,OK
0008_2323_5,16,16,9.79167e-07,OK
0008_2324_5,18,18,1e-06,OK
0008_2325_5,18,18,1e-06,OK
0008_2326_5,19,19,1e-06,OK
0008_2327_5,17,17,1e-06,OK
0008_2328_5,16,16,1e-06,OK
0008_2329_5,16,16,1e-06,OK
0008_2330_5,17,17,1e-06,OK
0008_2331_5,19,19,1e-06,OK
0008_2332_5,19,19,1e-06,OK
0008_2333_5,19,19,1e-06,OK
0008_2334_5,20,20,1e-06,OK
0008_2335_5,19,19,1e-06,OK
0008_2336_5,18,18,1e-06,OK
0008_2337_5,19,19,1e-06,OK
0008_2338_5,20,20,9.62963e-07,OK
0008_2339_5,18,18,1e-06,OK
0008_2340_5,18,18,9.62963e-07,OK
0008_2341_5,18,18,9.79167e-07,OK
0008_2342_5,17,17,9.62963e-07,OK
0008_2343_5,17,17,1e-06,OK
0008_2344_5,18,18,9.62963e-07,OK
0008_2345_5,17,17,9.62963e-07,OK
0008_2346_5,17,17,1e-06,OK
0008_2347_5,17,17,9.62963e-07,OK
